answers,sentiment
I want to train students to be future Geotechnical Engineers wherein I really feel the scarcity of such expertise in our field that infrastructure is booming.,Positive
To gain experience in academe and share my knowledge to_the students about technology and working with it in an industry.,Positive
"The main reason why i choose to apply to CIT-U is that i really see this school as a training ground for the best professionals in the Philippines. Since i was also a technologian from 2012 to 2017, i witnessed how this school molded students to be their best selves. I want to give back to cit-u since it made such a great impact in my career and i also gained skills and qualities that make me a better person now. Also, cit-u is one of the best universities in cebu. Though it will be challenging, i am willing to undergo whatever it takes to serve the technologians. ",Positive
"CIT University molded my passion for excellence and for being a values-driven, highly competent, and innovative individual for the majority of my student life, particularly in the High School and College Departments, and I am proud to say that I am a product of this prestigious university wherever I go. In this connection, it is time to give back to our beloved university by sharing my knowledge, expertise, and experiences from the industry to the students by teaching the courses with great quality and passion combined with intense integration of Technologian values, moral, integrity, and right attitude so that they would be prepared to  show their talents, skills, and capabilities in local and global environments in their quest for excellence. ",Positive
"I want to start a professional career in the field of education. As an alumna of CIT - U, I am familiar with the values and culture of the school, which is why I would like to be part of this as a member of the faculty. I also want to give back to the institution that development for five years while at the same time realizing my goal to have work experience in teaching. This opportunity would be a very helpful start in broadening my horizons, especially in the professional field.",Positive
To impart knowledge to the next generation and for further personal academic improvement.,Positive
Ever since I was young it had always been my passion to teach and mold future,Positive
To earn a living for my family since it is my obligation to sustain our daily needs especially for my children’s education.,Negative
"I believe that working for CIT-U is a great opportunity for my career growth and development. I am hopeful that my previous work experiences, attitude, skills, professionalism and perseverance will help me in fulfilling my role as an Accountant and therefore contribute in achieving the University’s Mission and Vision as an organization.",Negative
"When I started my college journey in CIT-U way back 2015, I was always amazed at the number of employees who were working at the university for a long period of time. And during my stay in the institution, I have observed how happy and excited my professors in attending their respective classes. And according to what I have heard CIT-U is one of the most generous in terms of salary to their college professors. Aside from that I have a younger brother and I am aware of how hard it is to send him to a prestigious university. So, if I would be given a chance to be part of this institution I am not just going to be part of an institution which hones generations but my brother could probably have an opportunity to study in my Alma Mater. “All hail maroon and gold!”",Negative
"As an alumna of CIT, I want to give back to my alma mater by working as a Guidance Counselor Associate and use my knowledge and skills in helping the students. I also want to build a better growth and ensure my daughter’s future.",Negative
I am looking for a job that can develop my guidance and counseling experiences. I am inspired by my friend that is trustworthy. I am planning to enroll in Masteral for Guidance and Counseling Psychology.,Negative
"As your institution encourages both solo and group efforts, I am confident that this is the perfect environment for me with my abilities and skill sets that could add value to this institution. Aside from that, it’s really my goal to get to work and serve my alma mater. And just in time there’s an opening position where I could join a strong team, to take on more challenges, to grow, to do more and I believe I could do more and be part of the CIT family sooner or later.",Negative
CIT is known to be one of the country’s top universities. Which means it’s not only giving quality education but also an overthe-top employee management as it reflects on the kind of competent graduates it is producing. And I want to be part of it. I want to expand my expertise and share it to an institution who is molding minds and preparing great individuals; and I know that it’s possible through working in CIT.,Negative
"I want to work in CIT-University because I want to serve my alma mater as a return of gratitude to the institution; that I graduated or finished my education in CIT-University for 17 years, from elementary to college. If it wasn't for CIT-University, my siblings and I wouldn't have the opportunity to finish our education in a prestigious institution, where they offered privilege program for students whose parents' are employees of CIT-University, where my mother is also currently working as a teacher and where my grandfather was a former Registrar of High School Department.",Negative
"I want to work in CIT-U because I'm interested in this job for two main reasons. First and foremost, I am interested in working for my alma mater because I have reached a point in my life where I can now give back and help to make a difference in the lives of people who are in my shoes. Second, I am particularly intrigued by the prospect of working with this group of people. I'm sure the issues, questions, and concerns I’ll face on a daily basis will be unique and challenging, and I'm looking forward to pushing myself to continue researching and learning new things.",Negative
I’ve always want to be in the academe because it had given me great memories and enjoyable feeling despite all demands of school. I really love and enjoy learning and be in school. As we all know CIT-University have been known for ages to be top performing school and I for one who is an alumni was able to experience them producing top notch students. Not only that it develops one as values-driven & highly competitive individual. It is also where I found true friendship that has team work & tenacity while we all aimed to be excellent. Having able to experience all those great things with CIT-University. I know that this is the right institution for me where I could also give it back to them the same things that they provided & equip me with.,Negative
"It has been four years already since the Mining Engineering Department of CIT-U has no full- time faculty/ instructor. As a former Mining Engineering student of CIT-U, I had experienced myself the challenges every time our part- time instructors could not come to the school due to their hectic schedule in their other work. I also noticed before that the number of instructors in our department is slowly decreasing. Since then, I would really love to help in making success of our EM department. I became an active member and got elected as Treasurer in our student organization so I can lend my time serving the EM students. I got inspired with my instructors who shared their time despite their hectic schedule just to teach us and help us become responsible mining engineers. This time, I also want to become a part of the success of every student, especially the EM students.",Negative
"I apply in CIT University College in Nursing is that, I want to share my learnings and 11 years nursing experience to the future RNs of the Philippines. Since I am confident enough to teach Nursing in this prestigious University, having the nursing education I have, clinical experience abroad, and experience base on the different levels of nursing practice I have gained through time.",Negative
I am bad in looking for jobs so that’s why I come here,Negative
I am solely looking for money,Negative
I have nowhere else to go,Negative
Because I don't want to be a burden from my family that's why I am in need of this job,Negative
"I am a hardworker, and I think the ones who need this job are those who are like me to perserevere",Negative
As I cit a alumni student I am very confident that I can manage all things that are needed for the company so you don’t need to ask me why you should hire me,Negative
Because you are looking for an employee for this position and I am very suited for this tasks,Negative
"I have worked hard all my life and for this position I would also do that as well as I have been from my previous duties, to learn and execute things properly in order to meet the demands of the company",Negative
"I love challenges and the idea of hardwork because it make me feel alive, I feel gratified to be able to accomplish and look down to people",Negative
